dropout_rate,split_id,accuracy,auc_roc,f1
0.00,0,0.964602,0.981556,0.972222
0.00,1,0.973451,0.997988,0.979021
0.00,2,0.982301,0.976526,0.986111
0.00,3,0.973451,0.989269,0.978723
0.00,4,0.964602,0.979376,0.972222
0.10,0,0.964602,0.981053,0.972222
0.10,1,0.973451,0.997988,0.978723
0.10,2,0.982301,0.976861,0.986111
0.10,3,0.964602,0.989269,0.971831
0.10,4,0.964602,0.989604,0.971831
0.20,0,0.964602,0.990610,0.972222
0.20,1,0.964602,0.997988,0.971831
0.20,2,0.982301,0.973675,0.986111
0.20,3,0.964602,0.977532,0.971429
0.20,4,0.964602,0.993964,0.972222
0.30,0,0.973451,0.989437,0.979021
0.30,1,0.982301,1.000000,0.986111
0.30,2,0.982301,0.977029,0.986111
0.30,3,0.973451,0.987760,0.979021
0.30,4,0.964602,0.985748,0.972222
0.40,0,0.964602,0.986922,0.972222
0.40,1,0.955752,0.996311,0.965035
0.40,2,0.973451,0.974849,0.979310
0.40,3,0.973451,0.985915,0.979021
0.40,4,0.946903,0.984406,0.959459
0.50,0,0.964602,0.991952,0.972222
0.50,1,0.964602,0.996311,0.972603
0.50,2,0.982301,0.975184,0.986111
0.50,3,0.964602,0.978370,0.972222
0.50,4,0.955752,0.989940,0.965517
0.60,0,0.955752,0.986419,0.965517
0.60,1,0.964602,0.998659,0.972222
0.60,2,0.982301,0.980718,0.986111
0.60,3,0.946903,0.985580,0.958904
0.60,4,0.911504,0.988263,0.931507
0.70,0,0.938053,0.991616,0.951724
0.70,1,0.946903,0.996647,0.958333
0.70,2,0.938053,0.986251,0.953020
0.70,3,0.946903,0.985245,0.958333
0.70,4,0.929204,0.991952,0.945205
0.80,0,0.964602,0.987928,0.972222
0.80,1,0.973451,0.996647,0.979021
0.80,2,0.973451,0.975352,0.979021
0.80,3,0.946903,0.985077,0.958333
0.80,4,0.938053,0.987928,0.951724
0.90,0,0.964602,0.991616,0.972222
0.90,1,0.973451,0.995641,0.978723
0.90,2,0.938053,0.982562,0.953020
0.90,3,0.938053,0.986083,0.951049
0.90,4,0.964602,0.988263,0.972222
